#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2014-07-16T13:55:56 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ53c683ad48b4	
#INFO	-out.max=unlimited	
#INFO	queryParameters=25	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-order=I
#-out.src=VII/174/table2
#-nav=cat:VII/174&tab:{VII/174/table2}&key:source=VII/174&HTTPPRM:&&-ref=VIZ53c683ad48b4&-out.max=unlimited&-out.form=HTML Table&-out.all=2&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=Cluster&Cluster=Abell 2256&-out=Galaxy&-out=X&-out=Y&-out=RA1950&-out=DE1950&-out=Mtype&-out=mvis&-out=mbulge&-out=Eps&-out=_RA.icrs&-out=_DE.icrs&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=VII/174/table2
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=VII/174/table2
#-order=I
#-out=Cluster
#Cluster=Abell 2256
#-out=Galaxy
#-out=X
#-out=Y
#-out=RA1950
#-out=DE1950
#-out=Mtype
#-out=mvis
#-out=mbulge
#-out=Eps
#-out=_RA.icrs
#-out=_DE.icrs
#

#RESOURCE=yCat_7174
#Name: VII/174
#Title: Morphological type catalog in 55 rich galaxy clusters (Dressler, 1980)
#Coosys	B1950:	eq_FK4 B1950
#Table	VII_174_table2:
#Name: VII/174/table2
#Title: Morphological types in 55 rich clusters of galaxies
#Column	Cluster	(A10)	Cluster name	[ucd=meta.id.part;meta.main]
#Column	Galaxy	(I3)	Galaxy number in the cluster	[ucd=meta.id.part;meta.main]
#Column	X	(I3)	X position	[ucd=pos.cartesian.x]
#Column	Y	(I3)	Y position	[ucd=pos.cartesian.y]
#Column	RA1950	(A10)	Right ascension 1950	[ucd=pos.eq.ra;meta.main]
#Column	DE1950	(A9)	Declination 1950	[ucd=pos.eq.dec;meta.main]
#Column	Mtype	(a8)	Morphological type	[ucd=src.morph.type]
#Column	mvis	(I2)	? Estimated total apparent magnitude [NULL integer written as an empty string]	[ucd=phot.mag;em.opt.V]
#Column	mbulge	(I2)	? Estimated bulge magnitude (1) [NULL integer written as an empty string]	[ucd=phot.mag]
#Column	Eps	(I2)	? Estimated ellipticity (2) [NULL integer written as an empty string]	[ucd=src.ellipticity]
#Column	_RA.icrs	(A10)	Right ascension (ICRS) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(A9)	Declination (ICRS) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
Cluster;Galaxy;X;Y;RA1950;DE1950;Mtype;mvis;mbulge;Eps;_RA.icrs;_DE.icrs
Abell 2256; 24;105; 42;17 05 05.6;+78 40 38;S0      ;  ;  ;  ;17 02 16.8;+78 36 34
Abell 2256; 25;106; 39;17 05 01.1;+78 39 55;E       ;  ;  ;  ;17 02 12.6;+78 35 51
Abell 2256; 26;113; 41;17 04 15.7;+78 40 16;S0      ;  ;  ;  ;17 01 27.4;+78 36 09
Abell 2256; 27;125; 33;17 03 05.6;+78 38 09;S       ;  ;  ;  ;17 00 18.7;+78 33 57
Abell 2256; 28;126; 35;17 02 59.3;+78 38 40;S0      ;  ;  ;  ;17 00 12.2;+78 34 27
Abell 2256; 29;148; 42;17 00 42.3;+78 40 43;E       ;  ;  ;  ;16 57 55.1;+78 36 21
Abell 2256; 30;148; 33;17 00 43.9;+78 38 16;S03/S   ;  ;  ;  ;16 57 57.9;+78 33 54
Abell 2256; 31;158; 30;16 59 46.9;+78 37 14;S0      ;  ;  ;  ;16 57 01.7;+78 32 48
Abell 2256; 32; 28; 51;17 13 03.6;+78 42 58;E       ;  ;  ;  ;17 10 10.9;+78 39 28
Abell 2256; 33; 38; 47;17 12 02.5;+78 41 52;S0      ;  ;  ;  ;17 09 10.7;+78 38 18
Abell 2256; 34; 59; 48;17 09 57.3;+78 42 19;S0      ;  ;  ;  ;17 07 05.9;+78 38 36
Abell 2256; 35; 61; 57;17 09 47.1;+78 44 56;S0/E    ;  ;  ;  ;17 06 54.5;+78 41 12
Abell 2256; 36; 75; 54;17 08 19.5;+78 44 13;S0      ;  ;  ;  ;17 05 27.8;+78 40 23
Abell 2256; 37; 79; 53;17 07 50.4;+78 43 57;S0      ;  ;  ;  ;17 04 59.0;+78 40 05
Abell 2256; 38; 81; 48;17 07 37.1;+78 42 27;E       ;  ;  ;  ;17 04 46.5;+78 38 34
Abell 2256; 39; 85; 48;17 07 14.4;+78 42 20;D       ;  ;  ;  ;17 04 24.0;+78 38 25
Abell 2256; 40; 86; 56;17 07 06.1;+78 44 45;S0      ;  ;  ;  ;17 04 14.5;+78 40 50
Abell 2256; 41; 89; 58;17 06 47.4;+78 45 24;S0/a    ;  ;  ;  ;17 03 55.6;+78 41 27
Abell 2256; 42; 87; 46;17 07 00.4;+78 41 45;E/D     ;  ;  ;  ;17 04 10.3;+78 37 49
Abell 2256; 43; 89; 58;17 06 46.8;+78 45 24;S0      ;  ;  ;  ;17 03 55.0;+78 41 27
Abell 2256; 44; 92; 51;17 06 30.3;+78 43 24;S0      ;  ;  ;  ;17 03 39.6;+78 39 26
Abell 2256; 45; 93; 48;17 06 25.5;+78 42 23;S0      ;  ;  ;  ;17 03 35.3;+78 38 25
Abell 2256; 46; 93; 46;17 06 25.3;+78 41 43;E       ;  ;  ;  ;17 03 35.5;+78 37 45
Abell 2256; 47; 93; 46;17 06 22.8;+78 41 47;E       ;  ;  ;  ;17 03 32.9;+78 37 49
Abell 2256; 48; 94; 53;17 06 18.5;+78 43 59;S0/E    ;  ;  ;  ;17 03 27.6;+78 40 00
Abell 2256; 49; 94; 47;17 06 15.3;+78 42 01;E       ;  ;  ;  ;17 03 25.4;+78 38 02
Abell 2256; 50; 97; 55;17 05 59.8;+78 44 37;S0      ;  ;  ;  ;17 03 08.7;+78 40 37
Abell 2256; 51; 97; 58;17 06 00.0;+78 45 26;S0      ;  ;  ;  ;17 03 08.5;+78 41 26
Abell 2256; 52;114; 58;17 04 12.6;+78 45 29;S       ;  ;  ;  ;17 01 21.7;+78 41 22
Abell 2256; 53;116; 65;17 04 00.1;+78 47 46;E/S0    ;  ;  ;  ;17 01 08.2;+78 43 38
Abell 2256; 54;119; 58;17 03 40.5;+78 45 35;S0      ;  ;  ;  ;17 00 49.8;+78 41 25
Abell 2256; 55;122; 54;17 03 19.3;+78 44 28;S0      ;  ;  ;  ;17 00 29.3;+78 40 17
Abell 2256; 56;123; 47;17 03 17.1;+78 42 18;E       ;  ;  ;  ;17 00 28.1;+78 38 07
Abell 2256; 57;163;109;16 59 03.7;+79 01 04;E       ;  ;  ;  ;16 56 07.1;+78 56 35
Abell 2256; 58; 41; 74;17 11 55.6;+78 49 57;S       ;  ;  ;  ;17 08 59.8;+78 46 22
Abell 2256; 59; 81; 80;17 07 42.0;+78 52 14;E/S0    ;  ;  ;  ;17 04 46.5;+78 48 21
Abell 2256; 60; 90; 69;17 06 47.4;+78 48 44;S0/a    ;  ;  ;  ;17 03 54.0;+78 44 47
Abell 2256; 61; 93; 78;17 06 28.1;+78 51 41;S0      ;  ;  ;  ;17 03 33.3;+78 47 43
Abell 2256; 62; 95; 76;17 06 15.0;+78 50 57;S/I     ;  ;  ;  ;17 03 20.7;+78 46 58
Abell 2256; 63;100; 68;17 05 40.5;+78 48 31;S0      ;  ;  ;  ;17 02 47.6;+78 44 30
Abell 2256; 64;102; 73;17 05 28.7;+78 50 04;S0      ;  ;  ;  ;17 02 35.1;+78 46 02
Abell 2256; 65;105; 73;17 05 10.2;+78 50 12;S       ;  ;  ;  ;17 02 16.6;+78 46 08
Abell 2256; 66;106; 71;17 05 02.5;+78 49 37;S       ;  ;  ;  ;17 02 09.3;+78 45 33
Abell 2256; 67;107; 72;17 04 57.4;+78 49 54;E       ;  ;  ;  ;17 02 04.1;+78 45 50
Abell 2256; 68;118; 86;17 03 44.4;+78 54 02;S0      ;  ;  ;  ;17 00 49.5;+78 49 52
Abell 2256; 69;117; 70;17 03 50.0;+78 49 11;S       ;  ;  ;  ;17 00 57.5;+78 45 02
Abell 2256; 70;123; 78;17 03 15.0;+78 51 38;S       ;  ;  ;  ;17 00 21.5;+78 47 26
Abell 2256; 71;123; 82;17 03 13.1;+78 52 52;S       ;  ;  ;  ;17 00 19.0;+78 48 40
Abell 2256; 72;158; 77;16 59 37.5;+78 51 26;S       ;  ;  ;  ;16 56 45.5;+78 46 59
Abell 2256; 73;166; 75;16 58 49.1;+78 50 50;S0      ;  ;  ;  ;16 55 57.7;+78 46 20
Abell 2256; 74; 40; 94;17 12 06.8;+78 56 07;S       ;  ;  ;  ;17 09 07.8;+78 52 33
Abell 2256; 75; 42; 87;17 11 53.7;+78 53 56;S0      ;  ;  ;  ;17 08 55.9;+78 50 21
Abell 2256; 76; 58; 96;17 10 11.3;+78 57 00;S0      ;  ;  ;  ;17 07 12.5;+78 53 18
Abell 2256; 77; 74; 90;17 08 29.0;+78 55 09;S       ;  ;  ;  ;17 05 31.7;+78 51 19
Abell 2256; 78; 93; 89;17 06 29.8;+78 54 56;S/I     ;  ;  ;  ;17 03 33.4;+78 50 58
Abell 2256; 79;100; 92;17 05 42.4;+78 55 50;S0      ;  ;  ;  ;17 02 45.8;+78 51 49
Abell 2256; 80;162;104;16 59 09.6;+78 59 42;S       ;  ;  ;  ;16 56 13.6;+78 55 13
Abell 2256; 81;121;106;17 03 28.9;+79 00 26;S       ;  ;  ;  ;17 00 30.8;+78 56 15
Abell 2256; 82;124;119;17 03 10.8;+79 04 28;E       ;  ;  ;  ;17 00 10.8;+79 00 16
Abell 2256; 83; 70;140;17 09 06.1;+79 10 28;S0      ;  ;  ;  ;17 06 00.7;+79 06 41
Abell 2256; 84;114;137;17 04 13.6;+79 09 43;S0      ;  ;  ;  ;17 01 10.4;+79 05 35
Abell 2256; 85;116;135;17 04 01.8;+79 09 21;I       ;  ;  ;  ;17 00 58.9;+79 05 12
Abell 2256; 86;123;130;17 03 14.0;+79 07 48;S0      ;  ;  ;  ;17 00 12.2;+79 03 36
Abell 2256; 87;131;136;17 02 27.8;+79 09 29;SB0     ;  ;  ;  ;16 59 25.4;+79 05 14
Abell 2256; 88;167;138;16 58 37.0;+79 09 45;E/S0    ;  ;  ;  ;16 55 36.1;+79 05 14

